Antecedent,Consequent,Confidence
"View/Response messages,View Operation Reports,View only Login As,Manage Content,View content reports",Manage Content Rules,1.0
"View/Response messages,View Operation Reports,View only Login As,Manage Content,View content reports",View Customer Account Balances,1.0
"View Operation Reports,Manage Content Rules,View Customer Account Balances,View only Login As,View content reports",Manage Content,1.0
"View Operation Reports,Manage Content Rules,View Customer Account Balances,View only Login As,View content reports",View/Response messages,0.992
"View/Response messages,Manage Content Rules,View Customer Account Balances,Manage Content",View Operation Reports,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances,Manage Content",View only Login As,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances,Manage Content",View content reports,1.0
"View/Response messages,View Customer Account Balances,View only Login As,Manage Content,View content reports",View Operation Reports,1.0
"View/Response messages,View Customer Account Balances,View only Login As,Manage Content,View content reports",Manage Content Rules,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View Customer Account Balances,Manage Content,View content reports",View only Login As,1.0
"View/Response messages,View Operation Reports,Manage Content,View content reports",View only Login As,1.0
"View/Response messages,View Operation Reports,Manage Content,View content reports",Manage Content Rules,1.0
"View/Response messages,View Operation Reports,Manage Content,View content reports",View Customer Account Balances,1.0
"View Operation Reports,View only Login As",Manage Content,0.9259259259259259
"View Operation Reports,View only Login As",View content reports,1.0
"View Operation Reports,View only Login As",Manage Content Rules,0.9259259259259259
"View Operation Reports,View only Login As",View Customer Account Balances,1.0
"View Operation Reports,View only Login As",View/Response messages,0.9925925925925926
"Manage Content Rules,View Customer Account Balances,View only Login As,View content reports",Manage Content,1.0
"Manage Content Rules,View Customer Account Balances,View only Login As,View content reports",View Operation Reports,1.0
"Manage Content Rules,View Customer Account Balances,View only Login As,View content reports",View/Response messages,0.992
"View/Response messages,View only Login As",Manage Content,0.8551724137931035
"View/Response messages,View only Login As",View content reports,1.0
"View/Response messages,View only Login As",View Operation Reports,0.9241379310344827
"View/Response messages,View only Login As",Manage Content Rules,0.8551724137931035
"View/Response messages,View only Login As",View Customer Account Balances,1.0
"View Operation Reports,Manage Content Rules,View only Login As",Manage Content,1.0
"View Operation Reports,Manage Content Rules,View only Login As",View content reports,1.0
"View Operation Reports,Manage Content Rules,View only Login As",View Customer Account Balances,1.0
"View Operation Reports,Manage Content Rules,View only Login As",View/Response messages,0.992
"Manage Content Rules,View only Login As,Manage Content,View content reports",View Customer Account Balances,1.0
"Manage Content Rules,View only Login As,Manage Content,View content reports",View Operation Reports,1.0
"Manage Content Rules,View only Login As,Manage Content,View content reports",View/Response messages,0.992
"View only Login As,Manage Content,View content reports",View Customer Account Balances,1.0
"View only Login As,Manage Content,View content reports",Manage Content Rules,1.0
"View only Login As,Manage Content,View content reports",View Operation Reports,1.0
"View only Login As,Manage Content,View content reports",View/Response messages,0.992
"View Operation Reports,Manage Content Rules,View Customer Account Balances,View only Login As,Manage Content,View content reports",View/Response messages,0.992
"View only Login As,Manage Content",View content reports,0.9398496240601504
"View only Login As,Manage Content",View Customer Account Balances,1.0
"View only Login As,Manage Content",Manage Content Rules,1.0
"View only Login As,Manage Content",View Operation Reports,0.9398496240601504
"View only Login As,Manage Content",View/Response messages,0.9323308270676691
"Manage Content Rules,View only Login As",Manage Content,1.0
"Manage Content Rules,View only Login As",View content reports,0.9398496240601504
"Manage Content Rules,View only Login As",View Customer Account Balances,1.0
"Manage Content Rules,View only Login As",View Operation Reports,0.9398496240601504
"Manage Content Rules,View only Login As",View/Response messages,0.9323308270676691
"Manage Content Rules,View Customer Account Balances,View only Login As,Manage Content,View content reports",View Operation Reports,1.0
"Manage Content Rules,View Customer Account Balances,View only Login As,Manage Content,View content reports",View/Response messages,0.992
"View/Response messages,View Operation Reports,View Customer Account Balances,Manage Content",Manage Content Rules,1.0
"View/Response messages,View Operation Reports,View Customer Account Balances,Manage Content",View only Login As,1.0
"View/Response messages,View Operation Reports,View Customer Account Balances,Manage Content",View content reports,1.0
"View Operation Reports,View Customer Account Balances",Manage Content Rules,0.9259259259259259
"View Operation Reports,View Customer Account Balances",View only Login As,1.0
"View Operation Reports,View Customer Account Balances",Manage Content,0.9259259259259259
"View Operation Reports,View Customer Account Balances",View content reports,1.0
"View Operation Reports,View Customer Account Balances",View/Response messages,0.9925925925925926
"View/Response messages,View Operation Reports,Manage Content",View only Login As,1.0
"View/Response messages,View Operation Reports,Manage Content",Manage Content Rules,1.0
"View/Response messages,View Operation Reports,Manage Content",View content reports,1.0
"View/Response messages,View Operation Reports,Manage Content",View Customer Account Balances,1.0
"View Operation Reports,Manage Content Rules,View Customer Account Balances,Manage Content,View content reports",View only Login As,1.0
"View Operation Reports,Manage Content Rules,View Customer Account Balances,Manage Content,View content reports",View/Response messages,0.992
"View Operation Reports,View Customer Account Balances,View only Login As,Manage Content",Manage Content Rules,1.0
"View Operation Reports,View Customer Account Balances,View only Login As,Manage Content",View content reports,1.0
"View Operation Reports,View Customer Account Balances,View only Login As,Manage Content",View/Response messages,0.992
"Manage Content Rules,View only Login As,View content reports",Manage Content,1.0
"Manage Content Rules,View only Login As,View content reports",View Customer Account Balances,1.0
"Manage Content Rules,View only Login As,View content reports",View Operation Reports,1.0
"Manage Content Rules,View only Login As,View content reports",View/Response messages,0.992
"View/Response messages,View Customer Account Balances",View Operation Reports,0.9241379310344827
"View/Response messages,View Customer Account Balances",Manage Content Rules,0.8551724137931035
"View/Response messages,View Customer Account Balances",View only Login As,1.0
"View/Response messages,View Customer Account Balances",Manage Content,0.8551724137931035
"View/Response messages,View Customer Account Balances",View content reports,1.0
"View Operation Reports,Manage Content",View only Login As,0.8865248226950354
"View Operation Reports,Manage Content",Manage Content Rules,1.0
"View Operation Reports,Manage Content",View content reports,1.0
"View Operation Reports,Manage Content",View Customer Account Balances,0.8865248226950354
"View Operation Reports,Manage Content",View/Response messages,0.8794326241134752
"View Operation Reports,View Customer Account Balances,Manage Content",Manage Content Rules,1.0
"View Operation Reports,View Customer Account Balances,Manage Content",View only Login As,1.0
"View Operation Reports,View Customer Account Balances,Manage Content",View content reports,1.0
"View Operation Reports,View Customer Account Balances,Manage Content",View/Response messages,0.992
"View Operation Reports,Manage Content Rules,View Customer Account Balances,View only Login As",Manage Content,1.0
"View Operation Reports,Manage Content Rules,View Customer Account Balances,View only Login As",View content reports,1.0
"View Operation Reports,Manage Content Rules,View Customer Account Balances,View only Login As",View/Response messages,0.992
"View/Response messages,View Operation Reports,Manage Content Rules,View Customer Account Balances,View only Login As",Manage Content,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View Customer Account Balances,View only Login As",View content reports,1.0
"Manage Content Rules,View Customer Account Balances,Manage Content",View only Login As,1.0
"Manage Content Rules,View Customer Account Balances,Manage Content",View content reports,0.9398496240601504
"Manage Content Rules,View Customer Account Balances,Manage Content",View Operation Reports,0.9398496240601504
"Manage Content Rules,View Customer Account Balances,Manage Content",View/Response messages,0.9323308270676691
"View/Response messages,View Operation Reports,View only Login As",Manage Content,0.9253731343283582
"View/Response messages,View Operation Reports,View only Login As",View content reports,1.0
"View/Response messages,View Operation Reports,View only Login As",Manage Content Rules,0.9253731343283582
"View/Response messages,View Operation Reports,View only Login As",View Customer Account Balances,1.0
"View/Response messages,View Customer Account Balances,View content reports",View Operation Reports,0.9241379310344827
"View/Response messages,View Customer Account Balances,View content reports",Manage Content Rules,0.8551724137931035
"View/Response messages,View Customer Account Balances,View content reports",View only Login As,1.0
"View/Response messages,View Customer Account Balances,View content reports",Manage Content,0.8551724137931035
View content reports,Manage Content,0.8757396449704142
View content reports,View only Login As,0.863905325443787
View content reports,View Customer Account Balances,0.863905325443787
View content reports,Manage Content Rules,0.8579881656804734
View content reports,View Operation Reports,0.893491124260355
View content reports,View/Response messages,0.8816568047337278
"View/Response messages,View only Login As,Manage Content,View content reports",View Operation Reports,1.0
"View/Response messages,View only Login As,Manage Content,View content reports",Manage Content Rules,1.0
"View/Response messages,View only Login As,Manage Content,View content reports",View Customer Account Balances,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,Manage Content,View content reports",View only Login As,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,Manage Content,View content reports",View Customer Account Balances,1.0
"View Operation Reports,Manage Content Rules,Manage Content",View only Login As,0.8865248226950354
"View Operation Reports,Manage Content Rules,Manage Content",View content reports,1.0
"View Operation Reports,Manage Content Rules,Manage Content",View Customer Account Balances,0.8865248226950354
"View Operation Reports,Manage Content Rules,Manage Content",View/Response messages,0.8794326241134752
"View Operation Reports,Manage Content Rules,View content reports",View only Login As,0.8865248226950354
"View Operation Reports,Manage Content Rules,View content reports",Manage Content,1.0
"View Operation Reports,Manage Content Rules,View content reports",View Customer Account Balances,0.8865248226950354
"View Operation Reports,Manage Content Rules,View content reports",View/Response messages,0.8794326241134752
"View/Response messages,View only Login As,Manage Content",View content reports,1.0
"View/Response messages,View only Login As,Manage Content",View Operation Reports,1.0
"View/Response messages,View only Login As,Manage Content",Manage Content Rules,1.0
"View/Response messages,View only Login As,Manage Content",View Customer Account Balances,1.0
"Manage Content Rules,View Customer Account Balances",View only Login As,1.0
"Manage Content Rules,View Customer Account Balances",Manage Content,1.0
"Manage Content Rules,View Customer Account Balances",View content reports,0.9398496240601504
"Manage Content Rules,View Customer Account Balances",View Operation Reports,0.9398496240601504
"Manage Content Rules,View Customer Account Balances",View/Response messages,0.9323308270676691
"View/Response messages,View content reports",View only Login As,0.9731543624161074
"View/Response messages,View content reports",View Operation Reports,0.8993288590604027
"View/Response messages,View content reports",Manage Content Rules,0.8590604026845637
"View/Response messages,View content reports",Manage Content,0.8590604026845637
"View/Response messages,View content reports",View Customer Account Balances,0.9731543624161074
"View/Response messages,View Customer Account Balances,Manage Content,View content reports",View Operation Reports,1.0
"View/Response messages,View Customer Account Balances,Manage Content,View content reports",Manage Content Rules,1.0
"View/Response messages,View Customer Account Balances,Manage Content,View content reports",View only Login As,1.0
"View Operation Reports,Manage Content Rules,View Customer Account Balances,View content reports",View only Login As,1.0
"View Operation Reports,Manage Content Rules,View Customer Account Balances,View content reports",Manage Content,1.0
"View Operation Reports,Manage Content Rules,View Customer Account Balances,View content reports",View/Response messages,0.992
"Manage Content Rules,View Customer Account Balances,View only Login As",Manage Content,1.0
"Manage Content Rules,View Customer Account Balances,View only Login As",View content reports,0.9398496240601504
"Manage Content Rules,View Customer Account Balances,View only Login As",View Operation Reports,0.9398496240601504
"Manage Content Rules,View Customer Account Balances,View only Login As",View/Response messages,0.9323308270676691
"View/Response messages,View Operation Reports,Manage Content Rules,View only Login As",Manage Content,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View only Login As",View content reports,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View only Login As",View Customer Account Balances,1.0
"View Operation Reports,Manage Content Rules,View only Login As,View content reports",Manage Content,1.0
"View Operation Reports,Manage Content Rules,View only Login As,View content reports",View Customer Account Balances,1.0
"View Operation Reports,Manage Content Rules,View only Login As,View content reports",View/Response messages,0.992
"View/Response messages,Manage Content,View content reports",View only Login As,0.96875
"View/Response messages,Manage Content,View content reports",View Operation Reports,0.96875
"View/Response messages,Manage Content,View content reports",Manage Content Rules,1.0
"View/Response messages,Manage Content,View content reports",View Customer Account Balances,0.96875
"View Operation Reports,View only Login As,View content reports",Manage Content,0.9259259259259259
"View Operation Reports,View only Login As,View content reports",Manage Content Rules,0.9259259259259259
"View Operation Reports,View only Login As,View content reports",View Customer Account Balances,1.0
"View Operation Reports,View only Login As,View content reports",View/Response messages,0.9925925925925926
"View Operation Reports,Manage Content Rules,View Customer Account Balances",View only Login As,1.0
"View Operation Reports,Manage Content Rules,View Customer Account Balances",Manage Content,1.0
"View Operation Reports,Manage Content Rules,View Customer Account Balances",View content reports,1.0
"View Operation Reports,Manage Content Rules,View Customer Account Balances",View/Response messages,0.992
"Manage Content Rules,Manage Content,View content reports",View only Login As,0.8620689655172413
"Manage Content Rules,Manage Content,View content reports",View Customer Account Balances,0.8620689655172413
"Manage Content Rules,Manage Content,View content reports",View Operation Reports,0.9724137931034482
"Manage Content Rules,Manage Content,View content reports",View/Response messages,0.8827586206896552
"View/Response messages,View only Login As,View content reports",Manage Content,0.8551724137931035
"View/Response messages,View only Login As,View content reports",View Operation Reports,0.9241379310344827
"View/Response messages,View only Login As,View content reports",Manage Content Rules,0.8551724137931035
"View/Response messages,View only Login As,View content reports",View Customer Account Balances,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances,View only Login As",View Operation Reports,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances,View only Login As",Manage Content,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances,View only Login As",View content reports,1.0
"View Operation Reports,View only Login As,Manage Content,View content reports",Manage Content Rules,1.0
"View Operation Reports,View only Login As,Manage Content,View content reports",View Customer Account Balances,1.0
"View Operation Reports,View only Login As,Manage Content,View content reports",View/Response messages,0.992
"View/Response messages,View Operation Reports,View Customer Account Balances,View only Login As",Manage Content Rules,0.9253731343283582
"View/Response messages,View Operation Reports,View Customer Account Balances,View only Login As",Manage Content,0.9253731343283582
"View/Response messages,View Operation Reports,View Customer Account Balances,View only Login As",View content reports,1.0
"Manage Content Rules,View content reports",View only Login As,0.8620689655172413
"Manage Content Rules,View content reports",Manage Content,1.0
"Manage Content Rules,View content reports",View Customer Account Balances,0.8620689655172413
"Manage Content Rules,View content reports",View Operation Reports,0.9724137931034482
"Manage Content Rules,View content reports",View/Response messages,0.8827586206896552
"View/Response messages,Manage Content",View only Login As,0.96875
"View/Response messages,Manage Content",View Operation Reports,0.96875
"View/Response messages,Manage Content",Manage Content Rules,1.0
"View/Response messages,Manage Content",View content reports,1.0
"View/Response messages,Manage Content",View Customer Account Balances,0.96875
View only Login As,Manage Content,0.8636363636363636
View only Login As,View content reports,0.948051948051948
View only Login As,View Customer Account Balances,1.0
View only Login As,Manage Content Rules,0.8636363636363636
View only Login As,View Operation Reports,0.8766233766233766
View only Login As,View/Response messages,0.9415584415584416
"View/Response messages,View Operation Reports,View only Login As,View content reports",Manage Content,0.9253731343283582
"View/Response messages,View Operation Reports,View only Login As,View content reports",Manage Content Rules,0.9253731343283582
"View/Response messages,View Operation Reports,View only Login As,View content reports",View Customer Account Balances,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances,View only Login As,Manage Content",View Operation Reports,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances,View only Login As,Manage Content",View content reports,1.0
"View Operation Reports,Manage Content Rules,View only Login As,Manage Content,View content reports",View Customer Account Balances,1.0
"View Operation Reports,Manage Content Rules,View only Login As,Manage Content,View content reports",View/Response messages,0.992
"View/Response messages,View Operation Reports,View Customer Account Balances,View only Login As,Manage Content",Manage Content Rules,1.0
"View/Response messages,View Operation Reports,View Customer Account Balances,View only Login As,Manage Content",View content reports,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View Customer Account Balances,Manage Content",View only Login As,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View Customer Account Balances,Manage Content",View content reports,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances,Manage Content,View content reports",View Operation Reports,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances,Manage Content,View content reports",View only Login As,1.0
"View Customer Account Balances,Manage Content",View only Login As,1.0
"View Customer Account Balances,Manage Content",View content reports,0.9398496240601504
"View Customer Account Balances,Manage Content",Manage Content Rules,1.0
"View Customer Account Balances,Manage Content",View Operation Reports,0.9398496240601504
"View Customer Account Balances,Manage Content",View/Response messages,0.9323308270676691
"View Customer Account Balances,View content reports",View only Login As,1.0
"View Customer Account Balances,View content reports",Manage Content,0.8561643835616438
"View Customer Account Balances,View content reports",Manage Content Rules,0.8561643835616438
"View Customer Account Balances,View content reports",View Operation Reports,0.9246575342465754
"View Customer Account Balances,View content reports",View/Response messages,0.9931506849315068
"View/Response messages,Manage Content Rules,View only Login As,Manage Content",View Operation Reports,1.0
"View/Response messages,Manage Content Rules,View only Login As,Manage Content",View content reports,1.0
"View/Response messages,Manage Content Rules,View only Login As,Manage Content",View Customer Account Balances,1.0
Manage Content,View content reports,0.9487179487179487
Manage Content,View only Login As,0.8525641025641025
Manage Content,View Customer Account Balances,0.8525641025641025
Manage Content,Manage Content Rules,0.9807692307692307
Manage Content,View Operation Reports,0.9038461538461539
Manage Content,View/Response messages,0.8205128205128205
"View/Response messages,View Operation Reports,Manage Content Rules,View Customer Account Balances,View content reports",View only Login As,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View Customer Account Balances,View content reports",Manage Content,1.0
"View/Response messages,View Operation Reports",View only Login As,1.0
"View/Response messages,View Operation Reports",Manage Content Rules,0.9253731343283582
"View/Response messages,View Operation Reports",Manage Content,0.9253731343283582
"View/Response messages,View Operation Reports",View Customer Account Balances,1.0
"View/Response messages,View Operation Reports",View content reports,1.0
"View/Response messages,View Operation Reports,View Customer Account Balances",Manage Content Rules,0.9253731343283582
"View/Response messages,View Operation Reports,View Customer Account Balances",View only Login As,1.0
"View/Response messages,View Operation Reports,View Customer Account Balances",Manage Content,0.9253731343283582
"View/Response messages,View Operation Reports,View Customer Account Balances",View content reports,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View content reports",View only Login As,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View content reports",Manage Content,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View content reports",View Customer Account Balances,1.0
"View only Login As,View content reports",Manage Content,0.8561643835616438
"View only Login As,View content reports",View Customer Account Balances,1.0
"View only Login As,View content reports",Manage Content Rules,0.8561643835616438
"View only Login As,View content reports",View Operation Reports,0.9246575342465754
"View only Login As,View content reports",View/Response messages,0.9931506849315068
"View/Response messages,View Operation Reports,Manage Content Rules,View Customer Account Balances,View only Login As,View content reports",Manage Content,1.0
"View Operation Reports,Manage Content,View content reports",View only Login As,0.8865248226950354
"View Operation Reports,Manage Content,View content reports",Manage Content Rules,1.0
"View Operation Reports,Manage Content,View content reports",View Customer Account Balances,0.8865248226950354
"View Operation Reports,Manage Content,View content reports",View/Response messages,0.8794326241134752
"View/Response messages,Manage Content Rules,View Customer Account Balances,View only Login As,Manage Content,View content reports",View Operation Reports,1.0
"Manage Content Rules,View Customer Account Balances,View only Login As,Manage Content",View content reports,0.9398496240601504
"Manage Content Rules,View Customer Account Balances,View only Login As,Manage Content",View Operation Reports,0.9398496240601504
"Manage Content Rules,View Customer Account Balances,View only Login As,Manage Content",View/Response messages,0.9323308270676691
"View/Response messages,Manage Content Rules,View Customer Account Balances",View Operation Reports,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances",View only Login As,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances",Manage Content,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances",View content reports,1.0
"View Operation Reports,Manage Content Rules,View only Login As,Manage Content",View content reports,1.0
"View Operation Reports,Manage Content Rules,View only Login As,Manage Content",View Customer Account Balances,1.0
"View Operation Reports,Manage Content Rules,View only Login As,Manage Content",View/Response messages,0.992
"View Operation Reports,View only Login As,Manage Content",View content reports,1.0
"View Operation Reports,View only Login As,Manage Content",Manage Content Rules,1.0
"View Operation Reports,View only Login As,Manage Content",View Customer Account Balances,1.0
"View Operation Reports,View only Login As,Manage Content",View/Response messages,0.992
Manage Content Rules,View only Login As,0.869281045751634
Manage Content Rules,Manage Content,1.0
Manage Content Rules,View Customer Account Balances,0.869281045751634
Manage Content Rules,View content reports,0.9477124183006536
Manage Content Rules,View Operation Reports,0.9215686274509803
Manage Content Rules,View/Response messages,0.8366013071895425
"View/Response messages,View Operation Reports,Manage Content Rules,View only Login As,View content reports",Manage Content,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View only Login As,View content reports",View Customer Account Balances,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances,View only Login As,View content reports",View Operation Reports,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances,View only Login As,View content reports",Manage Content,1.0
"View/Response messages,View Operation Reports,View Customer Account Balances,View content reports",Manage Content Rules,0.9253731343283582
"View/Response messages,View Operation Reports,View Customer Account Balances,View content reports",View only Login As,1.0
"View/Response messages,View Operation Reports,View Customer Account Balances,View content reports",Manage Content,0.9253731343283582
"View/Response messages,Manage Content Rules,View only Login As",View Operation Reports,1.0
"View/Response messages,Manage Content Rules,View only Login As",Manage Content,1.0
"View/Response messages,Manage Content Rules,View only Login As",View content reports,1.0
"View/Response messages,Manage Content Rules,View only Login As",View Customer Account Balances,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View only Login As,Manage Content",View content reports,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View only Login As,Manage Content",View Customer Account Balances,1.0
"Manage Content Rules,View Customer Account Balances,Manage Content,View content reports",View only Login As,1.0
"Manage Content Rules,View Customer Account Balances,Manage Content,View content reports",View Operation Reports,1.0
"Manage Content Rules,View Customer Account Balances,Manage Content,View content reports",View/Response messages,0.992
View Customer Account Balances,View only Login As,1.0
View Customer Account Balances,Manage Content,0.8636363636363636
View Customer Account Balances,View content reports,0.948051948051948
View Customer Account Balances,Manage Content Rules,0.8636363636363636
View Customer Account Balances,View Operation Reports,0.8766233766233766
View Customer Account Balances,View/Response messages,0.9415584415584416
"View Customer Account Balances,View only Login As,View content reports",Manage Content,0.8561643835616438
"View Customer Account Balances,View only Login As,View content reports",Manage Content Rules,0.8561643835616438
"View Customer Account Balances,View only Login As,View content reports",View Operation Reports,0.9246575342465754
"View Customer Account Balances,View only Login As,View content reports",View/Response messages,0.9931506849315068
"View Operation Reports,Manage Content Rules",View only Login As,0.8865248226950354
"View Operation Reports,Manage Content Rules",Manage Content,1.0
"View Operation Reports,Manage Content Rules",View Customer Account Balances,0.8865248226950354
"View Operation Reports,Manage Content Rules",View content reports,1.0
"View Operation Reports,Manage Content Rules",View/Response messages,0.8794326241134752
"View/Response messages,View Operation Reports,View Customer Account Balances,View only Login As,Manage Content,View content reports",Manage Content Rules,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View Customer Account Balances",View only Login As,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View Customer Account Balances",Manage Content,1.0
"View/Response messages,View Operation Reports,Manage Content Rules,View Customer Account Balances",View content reports,1.0
"View Operation Reports,View Customer Account Balances,View content reports",Manage Content Rules,0.9259259259259259
"View Operation Reports,View Customer Account Balances,View content reports",View only Login As,1.0
"View Operation Reports,View Customer Account Balances,View content reports",Manage Content,0.9259259259259259
"View Operation Reports,View Customer Account Balances,View content reports",View/Response messages,0.9925925925925926
"View Operation Reports,Manage Content Rules,View Customer Account Balances,Manage Content",View only Login As,1.0
"View Operation Reports,Manage Content Rules,View Customer Account Balances,Manage Content",View content reports,1.0
"View Operation Reports,Manage Content Rules,View Customer Account Balances,Manage Content",View/Response messages,0.992
"View Operation Reports,View Customer Account Balances,Manage Content,View content reports",Manage Content Rules,1.0
"View Operation Reports,View Customer Account Balances,Manage Content,View content reports",View only Login As,1.0
"View Operation Reports,View Customer Account Balances,Manage Content,View content reports",View/Response messages,0.992
"View/Response messages,Manage Content Rules,View only Login As,View content reports",View Operation Reports,1.0
"View/Response messages,Manage Content Rules,View only Login As,View content reports",Manage Content,1.0
"View/Response messages,Manage Content Rules,View only Login As,View content reports",View Customer Account Balances,1.0
"View/Response messages,View Customer Account Balances,View only Login As,Manage Content",View Operation Reports,1.0
"View/Response messages,View Customer Account Balances,View only Login As,Manage Content",Manage Content Rules,1.0
"View/Response messages,View Customer Account Balances,View only Login As,Manage Content",View content reports,1.0
"Manage Content,View content reports",View only Login As,0.8445945945945946
"Manage Content,View content reports",View Customer Account Balances,0.8445945945945946
"Manage Content,View content reports",Manage Content Rules,0.9797297297297297
"Manage Content,View content reports",View Operation Reports,0.9527027027027027
"Manage Content,View content reports",View/Response messages,0.8648648648648649
"View/Response messages,View Operation Reports,View Customer Account Balances,Manage Content,View content reports",Manage Content Rules,1.0
"View/Response messages,View Operation Reports,View Customer Account Balances,Manage Content,View content reports",View only Login As,1.0
"Manage Content Rules,Manage Content",View only Login As,0.869281045751634
"Manage Content Rules,Manage Content",View content reports,0.9477124183006536
"Manage Content Rules,Manage Content",View Customer Account Balances,0.869281045751634
"Manage Content Rules,Manage Content",View Operation Reports,0.9215686274509803
"Manage Content Rules,Manage Content",View/Response messages,0.8366013071895425
"View/Response messages,View Operation Reports,Manage Content Rules,View Customer Account Balances,View only Login As,Manage Content",View content reports,1.0
"View Operation Reports,View Customer Account Balances,View only Login As,Manage Content,View content reports",Manage Content Rules,1.0
"View Operation Reports,View Customer Account Balances,View only Login As,Manage Content,View content reports",View/Response messages,0.992
"View/Response messages,Manage Content Rules,Manage Content,View content reports",View Operation Reports,0.96875
"View/Response messages,Manage Content Rules,Manage Content,View content reports",View only Login As,0.96875
